epoch,step,train_loss,val_bcc,val_loss
0,61,,0.3858014643192291,1.0741496086120605
0,61,1.4125733375549316,,
1,123,,0.441633939743042,0.8967664837837219
1,123,1.0642400979995728,,
2,185,,0.47683489322662354,0.8325681090354919
2,185,0.8790460824966431,,
3,247,,0.5437548756599426,0.7508562207221985
3,247,0.8110480904579163,,
4,309,,0.5324209332466125,0.8085087537765503
4,309,0.7513683438301086,,
5,371,,0.5453086495399475,0.7653986811637878
5,371,0.777629017829895,,
6,433,,0.2608686685562134,1.512058138847351
6,433,0.9225419759750366,,
7,495,,0.17579908668994904,1.4641581773757935
7,495,1.5379977226257324,,
