epoch,step,train_loss,val_bcc,val_loss
0,61,,0.2598310112953186,1.7063813209533691
0,61,1.8160094022750854,,
1,123,,0.3387562930583954,1.5896583795547485
1,123,1.6858705282211304,,
2,185,,0.4049989581108093,1.4747260808944702
2,185,1.574291706085205,,
3,247,,0.46037277579307556,1.3618266582489014
3,247,1.4593840837478638,,
4,309,,0.4773319959640503,1.2907248735427856
4,309,1.3542232513427734,,
5,371,,0.5271087884902954,1.2078914642333984
5,371,1.2769880294799805,,
6,433,,0.5219892263412476,1.1611520051956177
6,433,1.209818720817566,,
7,495,,0.5328807234764099,1.1063809394836426
7,495,1.145918607711792,,
8,557,,0.5662256479263306,1.0808594226837158
8,557,1.1353108882904053,,
9,619,,0.5457388162612915,1.061668872833252
9,619,1.071061372756958,,
10,681,,0.5591848492622375,1.0392985343933105
10,681,1.0366345643997192,,
11,743,,0.5368701219558716,1.0343177318572998
11,743,0.9919705390930176,,
12,805,,0.5721803903579712,0.9988923072814941
12,805,0.9671719074249268,,
13,867,,0.5794726610183716,0.9808704257011414
13,867,0.9535186290740967,,
14,929,,0.6199544668197632,0.966550886631012
14,929,0.9280010461807251,,
15,991,,0.6143254637718201,0.9588329195976257
15,991,0.9317935705184937,,
16,1053,,0.6232055425643921,0.9356657862663269
16,1053,0.8487789034843445,,
17,1115,,0.593620240688324,0.9459418654441833
17,1115,0.878444254398346,,
18,1177,,0.6117309927940369,0.9288337230682373
18,1177,0.846647322177887,,
19,1239,,0.6138514876365662,0.9347122311592102
19,1239,0.8496584296226501,,
20,1301,,0.6316622495651245,0.9357074499130249
20,1301,0.7903777360916138,,
21,1363,,0.6333587169647217,0.9212280511856079
21,1363,0.8114541172981262,,
22,1425,,0.6242559552192688,0.9101362824440002
22,1425,0.7839598655700684,,
23,1487,,0.6280354261398315,0.9295809268951416
23,1487,0.780708909034729,,
24,1549,,0.6415325403213501,0.908551037311554
24,1549,0.7638553380966187,,
25,1611,,0.6431211233139038,0.9090548157691956
25,1611,0.7636467814445496,,
26,1673,,0.6283250451087952,0.9161116480827332
26,1673,0.7350870966911316,,
27,1735,,0.6264601349830627,0.8931198120117188
27,1735,0.741305947303772,,
28,1797,,0.633847177028656,0.9149399995803833
28,1797,0.7180140614509583,,
29,1859,,0.6365416646003723,0.8886792659759521
29,1859,0.7145918011665344,,
30,1921,,0.6384785175323486,0.9068210124969482
30,1921,0.6755824089050293,,
31,1983,,0.6268802881240845,0.9038395285606384
31,1983,0.6800851821899414,,
32,2045,,0.6369577646255493,0.8912889361381531
32,2045,0.7053438425064087,,
33,2107,,0.6301117539405823,0.8757438063621521
33,2107,0.6826009750366211,,
34,2169,,0.6204371452331543,0.8708519339561462
34,2169,0.6550363898277283,,
35,2231,,0.6510849595069885,0.8684205412864685
35,2231,0.6520584225654602,,
36,2293,,0.622456967830658,0.8799929022789001
36,2293,0.6556298136711121,,
37,2355,,0.6334034204483032,0.8808392286300659
37,2355,0.6650542616844177,,
38,2417,,0.649562656879425,0.8736007809638977
38,2417,0.659613847732544,,
39,2479,,0.6349514722824097,0.8961835503578186
39,2479,0.6483172178268433,,
40,2541,,0.5928075313568115,0.9196475744247437
40,2541,0.6791325211524963,,
41,2603,,0.6450034379959106,0.872710645198822
41,2603,0.6290307641029358,,
42,2665,,0.6427632570266724,0.9023668766021729
42,2665,0.6638095378875732,,
43,2727,,0.6120668053627014,0.9352112412452698
43,2727,0.6524098515510559,,
44,2789,,0.6129889488220215,0.9006431102752686
44,2789,0.6475017666816711,,
45,2851,,0.6128795742988586,0.9375892281532288
45,2851,0.6683085560798645,,
46,2913,,0.6419520974159241,0.911478579044342
46,2913,0.6655265688896179,,
47,2975,,0.6155630946159363,0.9089921116828918
47,2975,0.6662415862083435,,
48,3037,,0.6255910396575928,0.9145181179046631
48,3037,0.6497936248779297,,
49,3099,,0.6261695027351379,0.9131234884262085
49,3099,0.6637026071548462,,
50,3161,,0.6224823594093323,0.8963903188705444
50,3161,0.6561064720153809,,
